model,role,accuracy,macro_f1,weighted_f1,top_3_accuracy,loss,train_images,valid_images,num_classes
EfficientNetV2B0,Main transfer learning model,0.9795697927474976,0.9793695490349664,0.9795246688558704,0.9987480044364928,0.0674774497747421,70295,17572,38
MobileNetV3Large,Lightweight deployment-friendly model,0.9792283177375792,0.978987746094022,0.9791979469970836,0.9986342191696168,0.0617572478950023,70295,17572,38
Custom CNN Baseline,Baseline model trained from scratch,0.9614158868789672,0.9623718570505136,0.961904384779341,0.9976098537445068,0.115325316786766,70295,17572,38
